id,title,prep_time_min,category,cuisine,health_score,difficulty,main_ingredient
0,artichoke hearts stuffed,35,veggie,Turkish,5,medium,artichoke
1,artichoke in olive oil,32,veggie,Turkish,5,medium,artichoke
2,ayran soup,15,soup,Turkish,4,easy,yogurt
3,baja fish tacos,20,protein,Mexican,4,medium,fish
4,baked cheese pasta,25,carb,Global,3,easy,pasta
5,baked tofu and veggies,25,protein,Global,5,medium,tofu
6,barbunya with carrots,28,legume,Turkish,5,easy,cranberry  beans
7,bean and vegetable casserole,35,legume,Turkish,5,medium,mixed  beans
8,bean burrito,18,legume,Mexican,4,easy,beans
9,beef bulgogi,22,protein,Korean,3,medium,beef
10,beef enchiladas,30,protein,Mexican,3,medium,beef
11,black bean chili,25,legume,Mexican,5,easy,black  beans
12,black eyed pea stew,28,legume,Turkish,5,easy,black  eyed  pea
13,boiled vegetable plate,10,veggie,Turkish,5,easy,vegetables
14,broccoli pasta bowl,18,veggie,Global,5,easy,pasta
15,bulgur pilaf with beef,18,grain,Turkish,3,easy,beef
16,bulgur salad,15,grain,Turkish,5,easy,bulgur
17,carne asada,25,protein,Mexican,3,medium,beef
18,carrot rice pilaf,18,grain,Turkish,4,easy,rice
19,celery with orange,22,veggie,Turkish,5,medium,celery
20,cheese mushroom quesadilla,8,carb,Mexican,3,easy,tortilla
21,cheese spinach wrap,8,veggie,Mediterranean,4,easy,spinach
22,chicken alfredo light,22,protein,Global,3,medium,pasta
23,chicken and potatoes stew,30,protein,Turkish,4,easy,chicken
24,chicken curry turkish style,20,protein,Turkish,4,easy,chicken
25,chicken fajitas,20,protein,Mexican,4,medium,chicken
26,chicken mushroom skewers,15,protein,Global,4,easy,chicken
27,chicken noodles,14,carb,Asian,3,easy,chicken
28,chicken potato stew,30,protein,Turkish,4,easy,chicken
29,chicken saute,15,protein,Turkish,4,easy,chicken
30,chicken teriyaki bowl,20,protein,Asian,4,medium,chicken
31,chicken tortilla soup,22,soup,Mexican,4,easy,chicken
32,chickpea and pepper stew,27,legume,Turkish,5,easy,chickpea
33,chickpea pasta bowl,20,legume,Global,5,easy,pasta
34,chickpea stew,25,legume,Turkish,5,medium,chickpea
35,chickpea with eggplant,32,legume,Turkish,4,medium,chickpea
36,chickpea zucchini stew,30,legume,Turkish,5,medium,chickpea
37,chickpeas with veggies,25,legume,Turkish,5,medium,chickpea
38,chiles rellenos,40,veggie,Mexican,4,hard,peppers
39,chili noodle pasta mix,16,carb,Asian,3,easy,pasta
40,chili noodle stir,10,carb,Asian,3,easy,noodles
41,coconut chickpea curry,22,legume,Indian,5,medium,chickpea
42,cranberry beans pilaki,30,legume,Turkish,5,easy,cranberry  beans
43,creamy mushroom pasta,20,carb,Global,3,easy,pasta
44,creamy penne with corn,17,carb,Global,3,easy,pasta
45,crispy tofu bites,15,protein,Asian,5,easy,tofu
46,cumin chickpea pan,12,legume,Turkish,5,easy,chickpea
47,curry chickpeas,20,legume,Indian,5,easy,chickpea
48,eggplant musakka,30,veggie,Turkish,3,medium,eggplant
49,eggplant pan sauté,15,veggie,Turkish,4,easy,eggplant
50,eggplant steak,20,veggie,Turkish,5,medium,eggplant
51,eggplant tomato pasta,22,veggie,Turkish,4,medium,pasta
52,ezogelin soup,18,soup,Turkish,4,medium,lentil
